Model,Threshold,Accuracy,Sensitivity,Specificity,F1-Score,Precision
KNN_v8,0.5,0.7142857142857143,0.25,0.9565217391304348,0.375,0.75
SVM_v8,0.5,0.6285714285714286,0.25,0.8260869565217391,0.3157894736842105,0.42857142857142855
RandomForest_v8,0.5,0.6571428571428571,0.08333333333333333,0.9565217391304348,0.14285714285714285,0.5
XGBoost_v8,0.5,0.6571428571428571,0.08333333333333333,0.9565217391304348,0.14285714285714285,0.5
LogisticRegression_v8,0.5,0.6285714285714286,0.08333333333333333,0.9130434782608695,0.13333333333333333,0.3333333333333333
