Model,Threshold,Accuracy,Sensitivity,Specificity,F1-Score,Precision
LogisticRegression_tuned,0.5,0.5428571428571428,0.6666666666666666,0.4782608695652174,0.5,0.4
RandomForest_tuned,0.5,0.6,0.4166666666666667,0.6956521739130435,0.4166666666666667,0.4166666666666667
SVM_tuned,0.5,0.6571428571428571,0.3333333333333333,0.8260869565217391,0.4,0.5
KNN_tuned,0.5,0.7142857142857143,0.25,0.9565217391304348,0.375,0.75
XGBoost_tuned,0.5,0.6571428571428571,0.08333333333333333,0.9565217391304348,0.14285714285714285,0.5
