Model,Threshold,Accuracy,Sensitivity,Specificity,F1-Score,Precision
KNN_v8,0.4,0.6285714285714286,0.5,0.6956521739130435,0.48,0.46153846153846156
SVM_v8,0.4,0.5714285714285714,0.3333333333333333,0.6956521739130435,0.34782608695652173,0.36363636363636365
RandomForest_v8,0.4,0.6285714285714286,0.25,0.8260869565217391,0.3157894736842105,0.42857142857142855
LogisticRegression_v8,0.4,0.5714285714285714,0.16666666666666666,0.782608695652174,0.21052631578947367,0.2857142857142857
XGBoost_v8,0.4,0.5714285714285714,0.08333333333333333,0.8260869565217391,0.11764705882352941,0.2
