Model,Accuracy,F1-Score,Recall (Sensitivity),Precision,Specificity,Configuration
Logistic Regression,0.5196310935441371,0.3406871609403255,0.48357289527720737,0.2629815745393635,0.532080822403403,Baseline (Default)
SVM,0.5299077733860342,0.29874213836477986,0.39014373716632444,0.24203821656050956,0.5781637717121588,Baseline (Default)
KNN,0.5765480895915679,0.2625057365764112,0.2936344969199179,0.23734439834024895,0.674228996809642,Baseline (Default)
Naive Bayes,0.5085638998682477,0.20604512558535548,0.24845995893223818,0.176,0.598369372562921,Baseline (Default)
Random Forest,0.6250329380764164,0.15448603683897802,0.13347022587268995,0.18335684062059238,0.7947536334633108,Baseline (Default)
